dateTime,airTempF,precipInches,leafWetnessMinutes,rhPercent,windSpeedMph,windDirDegrees,solarRadLangleys,soilTempF,SoilMoistM3M3,dewpointF
10/01/2020 00:00 EDT,50.5,0.00,54,92,0.0,225,0,61.0,0.25,48
09/30/2020 23:00 EDT,53.8,0.00,52,90,2.2,220,0,61.2,0.25,51
09/30/2020 22:00 EDT,53.2,0.00,55,89,2.9,284,0,61.3,0.25,50
09/30/2020 21:00 EDT,62.1,0.00,0,58,10.5,195,0,61.7,0.25,47
09/30/2020 20:00 EDT,60.6,0.00,0,61,5.1,161,0,62.2,0.25,47
09/30/2020 19:00 EDT,61.2,0.00,0,59,6.7,178,3,62.6,0.25,47
09/30/2020 18:00 EDT,62.1,0.00,1,57,5.1,188,4,63.0,0.25,47
09/30/2020 17:00 EDT,63.1,0.00,0,55,9.6,204,18,63.1,0.25,47
09/30/2020 16:00 EDT,62.1,0.00,0,66,2.2,159,21,63.0,0.26,51
09/30/2020 15:00 EDT,59.0,0.00,0,69,4.5,302,14,63.0,0.26,49
09/30/2020 14:00 EDT,63.9,0.00,0,57,6.7,272,26,62.6,0.26,48
09/30/2020 13:00 EDT,61.9,0.00,0,54,15.7,256,28,62.2,0.26,45
09/30/2020 12:00 EDT,60.3,0.00,0,65,8.9,247,38,61.5,0.27,48
09/30/2020 11:00 EDT,59.0,0.00,0,75,6.7,225,18,61.0,0.27,51
09/30/2020 10:00 EDT,55.4,0.00,8,85,4.5,213,9,61.0,0.27,51
09/30/2020 09:00 EDT,53.2,0.00,22,91,3.8,152,5,61.0,0.28,51
09/30/2020 08:00 EDT,52.5,0.00,51,93,2.9,209,1,61.2,0.28,51
09/30/2020 07:00 EDT,51.8,0.00,60,95,5.1,265,0,61.5,0.29,50
09/30/2020 06:00 EDT,51.4,0.00,60,96,6.7,302,0,61.9,0.30,50
09/30/2020 05:00 EDT,51.4,0.00,60,97,6.0,310,0,62.2,0.31,51
09/30/2020 04:00 EDT,53.4,0.00,60,98,2.2,291,0,62.6,0.29,53
09/30/2020 03:00 EDT,54.0,0.00,60,99,0.0,67,0,62.8,0.27,54
09/30/2020 02:00 EDT,54.3,0.00,60,98,0.0,67,0,63.0,0.26,54
09/30/2020 01:00 EDT,54.5,0.00,60,98,1.6,256,0,63.3,0.26,54
09/30/2020 00:00 EDT,54.9,0.00,60,98,0.0,256,0,63.5,0.25,54
09/29/2020 23:00 EDT,55.2,0.00,60,98,0.7,256,0,63.7,0.25,55
09/29/2020 22:00 EDT,55.2,0.00,60,98,1.6,133,0,63.9,0.25,55
09/29/2020 21:00 EDT,55.6,0.01,60,97,0.7,133,0,64.2,0.25,55
09/29/2020 20:00 EDT,56.3,0.00,60,96,0.7,211,0,64.6,0.24,55
09/29/2020 19:00 EDT,56.7,0.00,60,97,2.9,143,0,64.9,0.23,56
09/29/2020 18:00 EDT,57.7,0.00,60,97,2.9,133,2,65.1,0.22,57
09/29/2020 17:00 EDT,59.0,0.00,60,95,3.8,173,6,65.3,0.22,58
09/29/2020 16:00 EDT,59.4,0.00,60,96,5.1,132,8,65.5,0.21,58
09/29/2020 15:00 EDT,59.0,0.00,60,96,4.5,133,6,65.5,0.20,58
09/29/2020 14:00 EDT,58.8,0.01,60,95,3.8,135,8,65.7,0.19,57
09/29/2020 13:00 EDT,59.2,0.00,60,92,2.9,131,10,65.7,0.19,57
09/29/2020 12:00 EDT,58.8,0.00,53,90,2.9,145,16,65.5,0.18,56
09/29/2020 11:00 EDT,59.2,0.01,60,88,1.6,180,10,65.5,0.18,56
09/29/2020 10:00 EDT,58.6,0.00,58,92,0.7,230,6,65.5,0.18,56
09/29/2020 09:00 EDT,57.2,0.01,60,94,1.6,310,4,65.7,0.18,55
09/29/2020 08:00 EDT,56.7,0.01,60,94,3.8,310,1,66.2,0.18,55
09/29/2020 07:00 EDT,58.5,0.00,60,92,6.0,307,0,66.4,0.18,56
09/29/2020 06:00 EDT,59.9,0.00,48,92,4.5,310,0,66.7,0.18,58
09/29/2020 05:00 EDT,61.7,0.00,20,88,8.3,288,0,66.9,0.17,58
09/29/2020 04:00 EDT,66.0,0.00,0,80,9.6,292,0,67.1,0.17,60
09/29/2020 03:00 EDT,72.3,0.00,0,73,6.0,160,0,67.3,0.17,63
09/29/2020 02:00 EDT,72.0,0.00,0,74,5.1,147,0,67.5,0.17,63
09/29/2020 01:00 EDT,71.6,0.00,0,76,6.0,146,0,67.6,0.17,64
09/29/2020 00:00 EDT,71.6,0.00,0,75,7.4,152,0,68.0,0.17,63
